CaseID,Title,DateOpened,Status,AssignedDetectiveID,CrimeType,Location
C1328,Difficult,2023-07-05,Open,D1136,Narcotics,"Mullinsfurt, WA"
C1329,Try condition,2025-03-21,Open,D1033,Narcotics,"East Claudia, CA"
C1330,Subject clearly take,2023-06-20,Closed,D1024,Narcotics,"Martinezbury, HI"
C1331,Name,2022-10-23,Closed,D1062,Narcotics,"Lake Joland, WA"
C1332,Case none position hand,2022-09-19,Closed,D1057,Narcotics,"South Tracymouth, NC"
C1333,Difference others know expert,2023-03-07,Open,D1165,Narcotics,"South Mary, WA"
C1334,Concern reach,2023-02-12,Closed,D1148,Homicide,"Lauramouth, NV"
C1335,Beyond bed activity,2023-09-30,Closed,D1070,Fraud,"West Ryan, MA"
C1336,Buy assume part father,2024-02-19,Closed,D1138,Homicide,"Savageton, MA"
C1337,Night want,2023-01-13,Closed,D1060,Cyber Crime,"Port Lisaburgh, FL"
C1338,Front season suddenly,2024-09-08,Open,D1156,Cyber Crime,"Port Perryview, LA"
C1339,Teach speak lay,2022-06-10,Closed,D1160,Homicide,"East Lindsayport, ME"
C1340,Majority know,2024-11-23,Open,D1036,Narcotics,"Rebeccachester, AK"
C1341,Weight southern,2023-08-03,Open,D1196,Narcotics,"North Robert, NY"
C1342,Politics catch information,2024-03-29,Closed,D1110,Homicide,"Davidside, OR"
C1343,Behavior both,2023-01-12,Closed,D1154,Narcotics,"Fritzborough, WY"
C1344,Enough operation kitchen,2023-12-01,Open,D1043,Cyber Crime,"West Morganchester, IN"
C1345,Nearly,2024-04-30,Closed,D1105,Robbery,"Rittermouth, OK"
C1346,Song computer,2023-10-19,Closed,D1195,Fraud,"Jamesville, WA"
C1347,Few eight,2023-12-04,Open,D1094,Cyber Crime,"Port Richard, CA"
C1348,In baby notice,2023-02-08,Open,D1160,Cyber Crime,"East Mariomouth, VT"
C1349,Significant specific,2024-11-25,Closed,D1161,Fraud,"Port Catherine, AR"
C1350,Degree article,2024-03-06,Open,D1050,Cyber Crime,"North Deborahborough, NM"
C1351,Minute offer,2025-02-12,Open,D1185,Fraud,"East Nathanside, WY"
C1352,Free finally national difficult,2022-04-27,Closed,D1075,Narcotics,"Alexanderchester, CA"
C1353,Step generation,2023-09-18,Open,D1074,Fraud,"West Annestad, VA"
C1354,Training hundred it start,2022-05-18,Closed,D1008,Narcotics,"Cartertown, UT"
C1355,Mrs possible add,2024-10-01,Closed,D1096,Robbery,"Port Christopherfurt, PA"
C1356,Prepare blue,2023-01-23,Closed,D1034,Robbery,"South Richardport, MS"
C1357,Picture million type,2022-06-05,Open,D1156,Cyber Crime,"Caitlinton, NM"
C1358,Answer stock full road,2024-06-30,Open,D1007,Narcotics,"East Austin, LA"
C1359,Run some Congress,2023-09-10,Closed,D1118,Homicide,"Hillfurt, DE"
C1360,Class here develop,2024-09-25,Open,D1199,Narcotics,"Andersonmouth, RI"
C1361,Try poor modern,2025-03-30,Open,D1043,Robbery,"New Reginald, OK"
C1362,Book they field,2022-08-25,Open,D1042,Robbery,"Danielhaven, WY"
C1363,Indicate actually small,2023-01-30,Open,D1134,Robbery,"North Zachary, NV"
C1364,Establish indicate very art,2025-02-25,Closed,D1091,Fraud,"New Joseph, TN"
C1365,Man story,2022-10-06,Closed,D1183,Cyber Crime,"West Heidistad, ID"
C1366,Drop store,2023-10-07,Open,D1104,Cyber Crime,"Lake Nicholas, KS"
C1367,Wife get,2025-02-21,Open,D1087,Fraud,"Johnsonside, AZ"
C1368,Rate effect remember,2024-08-03,Closed,D1136,Robbery,"Jillville, NE"
C1369,Good challenge business,2025-03-08,Closed,D1189,Fraud,"Gordonport, ND"
C1370,Back song,2024-10-13,Closed,D1060,Narcotics,"Ronaldmouth, CT"
C1371,Stage goal can,2022-11-30,Closed,D1099,Narcotics,"Moralesfort, RI"
C1372,Cell animal ready,2023-08-23,Closed,D1104,Narcotics,"South Brittneyland, DE"
C1373,Factor blue,2023-12-28,Open,D1174,Robbery,"Tinatown, AR"
C1374,Model dinner simply,2024-01-14,Open,D1001,Fraud,"Lake Denise, ND"
C1375,Fast magazine,2024-11-21,Open,D1178,Robbery,"South Kimberly, PA"
C1376,Consider probably against,2023-02-10,Open,D1068,Fraud,"North William, IA"
C1377,Wide billion raise,2022-10-01,Open,D1096,Homicide,"Mitchellland, AZ"
C1378,Else represent detail,2025-01-04,Open,D1002,Homicide,"Jorgeland, NV"
C1379,Remain,2022-11-09,Closed,D1184,Narcotics,"South Sarahview, MA"
C1380,Adult run point,2023-05-25,Closed,D1027,Narcotics,"Jessicastad, VT"
C1381,Admit who,2023-11-29,Closed,D1149,Cyber Crime,"Richardtown, DE"
C1382,Leader,2023-08-27,Closed,D1198,Robbery,"North Mary, TN"
C1383,White send,2024-09-06,Open,D1143,Fraud,"Johnshire, WV"
C1384,Fish plan pick,2023-04-07,Open,D1199,Fraud,"North Stevenfurt, GA"
C1385,Coach,2024-03-29,Open,D1006,Robbery,"East Ashleyton, MN"
C1386,Ten many,2022-07-19,Closed,D1155,Robbery,"Arielstad, SD"
C1387,World show market,2024-08-06,Closed,D1181,Narcotics,"East Davidborough, CT"
C1388,Among nice,2022-11-30,Closed,D1005,Fraud,"Chavezmouth, AL"
C1389,Personal which reflect,2024-12-08,Open,D1099,Robbery,"East Cheryl, LA"
C1390,Organization serious leader,2025-03-06,Closed,D1144,Homicide,"South Joseph, ME"
C1391,Of wind white,2022-10-30,Closed,D1022,Fraud,"Shannonville, OR"
C1392,Read respond tend,2023-08-22,Closed,D1085,Robbery,"Port Danielmouth, OR"
C1393,Cultural pull above,2022-10-06,Closed,D1010,Narcotics,"North Kylemouth, NC"
C1394,Money,2025-02-23,Open,D1068,Fraud,"West Meredith, ME"
C1395,War husband,2023-06-10,Closed,D1141,Narcotics,"Velezport, AL"
C1396,Wait similar blood really,2024-10-07,Closed,D1067,Robbery,"South Stephen, MI"
C1397,True water short report,2023-07-02,Open,D1138,Cyber Crime,"Owensfort, CO"
C1398,Need simply,2025-03-28,Open,D1077,Fraud,"Tammymouth, AR"
C1399,Community expect live,2023-12-13,Open,D1116,Homicide,"Luisview, RI"
C1400,Avoid stand stop,2024-12-24,Open,D1122,Narcotics,"Guerraburgh, RI"
C1401,Make knowledge,2023-07-27,Closed,D1142,Homicide,"West Tammy, SD"
C1402,Knowledge her ten,2022-07-09,Closed,D1123,Robbery,"West Anthonytown, KS"
C1403,Let receive,2023-03-21,Open,D1075,Robbery,"Hoffmanview, DC"
C1404,Even,2022-07-25,Closed,D1024,Robbery,"Warrenshire, CA"
C1405,Once enter discuss,2023-09-26,Open,D1170,Robbery,"South Alexandra, TX"
C1406,Amount will data,2023-12-11,Open,D1001,Homicide,"New Johnside, FL"
C1407,Manage management conference,2023-05-05,Closed,D1142,Fraud,"Georgestad, LA"
C1408,Ever hospital arrive third,2023-10-08,Closed,D1182,Homicide,"East Wendymouth, OK"
C1409,Analysis,2023-01-07,Closed,D1143,Cyber Crime,"New Eric, FL"
C1410,Imagine affect,2024-08-23,Closed,D1024,Homicide,"Maxshire, AK"
C1411,Try happen show garden,2023-04-29,Open,D1058,Narcotics,"Michaelchester, MN"
C1412,Son defense,2024-10-05,Closed,D1070,Robbery,"New Dennis, NY"
C1413,Old nice per,2022-10-16,Open,D1126,Cyber Crime,"West Jonathan, NV"
C1414,Industry best change,2023-02-07,Closed,D1023,Homicide,"West Seth, MN"
C1415,Thank goal,2023-11-27,Closed,D1146,Narcotics,"South Tammy, GA"
C1416,Yeah interview somebody,2024-10-16,Open,D1189,Cyber Crime,"Port Aaron, AK"
C1417,Why nothing woman,2024-03-11,Closed,D1194,Robbery,"South Keithborough, AL"
C1418,Identify wall,2024-12-03,Open,D1073,Robbery,"Greenefurt, AR"
C1419,Cold store,2023-08-20,Closed,D1168,Cyber Crime,"New Cindyburgh, MS"
C1420,Eight west,2023-04-14,Closed,D1098,Fraud,"Kramermouth, MI"
C1421,Fine street,2024-06-23,Open,D1199,Homicide,"Dominguezview, MN"
C1422,Perhaps where,2022-05-20,Closed,D1090,Fraud,"North Jeffrey, PA"
C1423,Team reveal,2023-12-18,Closed,D1058,Cyber Crime,"Port David, OK"
C1424,Guess them purpose,2025-02-17,Closed,D1110,Cyber Crime,"North Julie, TN"
C1425,Finally central whatever,2024-02-12,Closed,D1102,Cyber Crime,"Randybury, NH"
C1426,Market walk,2023-03-05,Open,D1122,Cyber Crime,"Lake Rebeccachester, NC"
C1427,Billion establish character,2023-07-24,Open,D1114,Robbery,"West David, IL"
C1428,Sometimes art call various,2024-10-08,Closed,D1062,Robbery,"Justinton, OK"
C1429,Including free,2023-11-23,Closed,D1127,Robbery,"Melissaside, AR"
C1430,Rock parent some,2022-06-11,Open,D1174,Narcotics,"North Ronald, CO"
C1431,That nation,2024-11-01,Closed,D1118,Fraud,"North Albert, MN"
C1432,Special might wish,2022-06-08,Closed,D1144,Fraud,"Ryanville, RI"
C1433,Deep politics,2024-09-02,Open,D1172,Narcotics,"Thomasland, AZ"
C1434,Debate in reason,2025-01-09,Closed,D1124,Robbery,"South Jamieland, VA"
C1435,Dog price,2022-11-25,Closed,D1132,Homicide,"East Robin, NE"
C1436,Activity mission,2023-03-01,Open,D1120,Cyber Crime,"Espinozaborough, CT"
C1437,Surface play four,2024-12-07,Closed,D1058,Narcotics,"Williamfort, IL"
C1438,Others,2024-09-21,Open,D1147,Homicide,"West Ryanville, AZ"
C1439,Former perform whose,2022-09-28,Closed,D1023,Cyber Crime,"East Nancyport, OK"
C1440,Hot chance,2022-08-04,Open,D1185,Cyber Crime,"Jeffreybury, AZ"
C1441,Manage,2024-09-27,Open,D1028,Robbery,"Paynebury, IA"
C1442,Staff forward respond bill,2023-03-29,Closed,D1007,Robbery,"Harrisfort, WY"
C1443,Source protect,2024-05-09,Open,D1002,Narcotics,"Port Ashley, NE"
C1444,Cold right must,2023-06-07,Open,D1033,Homicide,"Port Jimmystad, OK"
C1445,Focus,2023-06-29,Open,D1020,Narcotics,"Boothborough, IN"
C1446,Fire growth alone until,2023-07-19,Open,D1000,Fraud,"New Lauraside, AK"
C1447,Investment,2022-07-09,Closed,D1017,Fraud,"Shawntown, OH"
C1448,Inside somebody,2023-12-10,Open,D1059,Robbery,"Port Matthewton, SD"
C1449,Per second,2025-03-08,Closed,D1097,Narcotics,"Lake Aliciaville, OK"
C1450,Difference,2024-08-12,Open,D1111,Robbery,"Claytonville, HI"
C1451,Never discuss,2022-10-31,Closed,D1195,Homicide,"Ricardoton, NC"
C1452,The candidate,2024-05-23,Closed,D1007,Fraud,"Jonesbury, WV"
C1453,Its pull,2022-10-26,Closed,D1180,Cyber Crime,"Scottborough, AZ"
C1454,Choice manage of,2024-08-31,Closed,D1173,Narcotics,"North Natalie, OR"
C1455,Others sort forward,2024-05-10,Open,D1152,Fraud,"Port Caleb, ND"
C1456,Future stay,2024-06-13,Open,D1064,Homicide,"Johnhaven, KY"
C1457,Focus floor subject,2023-07-23,Open,D1069,Homicide,"Port Cody, ID"
C1458,Impact move,2022-09-30,Open,D1158,Robbery,"Jasonmouth, IA"
C1459,Voice hotel at,2023-06-26,Closed,D1053,Fraud,"Gonzalesville, SC"
C1460,Specific enter hope,2022-10-30,Closed,D1051,Narcotics,"North Cassandra, AR"
C1461,Four interview return,2024-02-01,Open,D1143,Homicide,"West Sandrashire, AL"
C1462,City,2022-09-06,Closed,D1031,Fraud,"East Rachel, MA"
C1463,Measure value,2024-02-15,Closed,D1120,Robbery,"Wrightland, FL"
C1464,East actually,2024-12-14,Closed,D1140,Cyber Crime,"South Joshuahaven, MS"
C1465,Wife present although president,2024-04-20,Open,D1106,Cyber Crime,"New Reginaldland, MD"
C1466,Result discussion would,2022-06-05,Closed,D1020,Fraud,"South Michelefort, IL"
C1467,Team middle,2024-12-31,Closed,D1059,Narcotics,"Lake Kayla, WA"
C1468,Focus discuss our,2024-09-10,Open,D1089,Narcotics,"Susanview, CO"
C1469,Structure control learn age,2024-11-14,Closed,D1006,Narcotics,"Johnburgh, VT"
C1470,System involve,2024-07-22,Open,D1141,Narcotics,"West Cassie, OR"
C1471,Drug,2022-07-14,Closed,D1057,Narcotics,"New Kaylastad, KS"
C1472,Example modern yes woman,2024-04-01,Open,D1064,Narcotics,"Lake Scottville, VA"
C1473,Clearly increase,2022-09-24,Closed,D1036,Robbery,"Jenniferstad, NY"
C1474,Sound use walk,2022-05-12,Closed,D1072,Cyber Crime,"Stanleyville, VT"
C1475,So section reveal,2024-02-08,Closed,D1153,Robbery,"South Jessica, OH"
C1476,International executive base,2022-06-17,Open,D1048,Cyber Crime,"Paynemouth, PA"
C1477,Program prove very,2023-02-12,Open,D1015,Robbery,"South Joan, NY"
C1478,Network alone,2024-01-20,Closed,D1009,Cyber Crime,"West Angela, AR"
C1479,Reason expect capital,2024-07-01,Open,D1196,Narcotics,"New Kevin, NV"
C1480,And,2023-07-27,Closed,D1173,Robbery,"Grahamtown, GA"
C1481,Happen discover,2025-03-11,Closed,D1127,Robbery,"Kaylahaven, OK"
C1482,Foreign professor,2022-12-23,Open,D1100,Homicide,"Baxterfurt, MA"
C1483,Resource door only,2023-02-23,Closed,D1194,Fraud,"Port Travisbury, KY"
C1484,Later analysis,2022-12-31,Open,D1185,Cyber Crime,"South Ray, WV"
C1485,Pass report,2022-06-07,Open,D1132,Fraud,"Dianashire, ME"
C1486,Both purpose ready,2024-05-20,Closed,D1038,Fraud,"Lake Stephenbury, OR"
C1487,Group leave,2022-07-03,Closed,D1169,Fraud,"West Keith, WI"
C1488,Tax owner,2022-04-30,Open,D1153,Narcotics,"South James, OH"
C1489,Mind walk child,2025-03-12,Open,D1062,Narcotics,"New Shawnchester, UT"
C1490,Bag should,2023-09-05,Closed,D1142,Robbery,"Stanleyborough, NM"
C1491,Anything economy factor,2025-03-13,Open,D1011,Homicide,"Meganchester, OR"
C1492,Attention fact level,2022-04-29,Open,D1062,Narcotics,"Sharonland, ME"
C1493,Leg kind certain,2023-03-19,Open,D1169,Homicide,"Onealland, SD"
C1494,Only word,2024-09-20,Closed,D1165,Cyber Crime,"Dianaburgh, AL"
C1495,Role pull to wear,2024-09-09,Closed,D1126,Robbery,"Ramireztown, SD"
C1496,Few answer treatment,2024-03-01,Open,D1095,Fraud,"East Rodneyland, MS"
C1497,Decide environment adult listen,2024-04-24,Closed,D1183,Narcotics,"North Andrewberg, WV"
C1498,Dream despite,2022-12-28,Closed,D1112,Cyber Crime,"North Lauriefort, FL"
C1499,Article probably,2025-01-23,Closed,D1017,Robbery,"North Danafurt, WI"
C1500,Miss,2023-06-10,Open,D1193,Homicide,"Laurenville, FL"
C1501,Rise pick suggest,2022-08-28,Open,D1100,Narcotics,"Port Amanda, RI"
C1502,Method federal easy,2023-03-20,Open,D1094,Homicide,"West Carlos, MT"
C1503,Effect check head,2024-02-12,Open,D1103,Robbery,"Martinezburgh, AR"
C1504,All evening process,2024-01-20,Open,D1105,Fraud,"Joeltown, AZ"
C1505,Some foreign,2022-05-29,Closed,D1138,Robbery,"West Jonathanton, CT"
C1506,Enter top,2024-02-12,Open,D1171,Robbery,"East Amystad, WY"
C1507,Approach impact walk,2023-06-15,Closed,D1079,Narcotics,"Joshuatown, NM"
C1508,Daughter interest,2023-09-29,Open,D1020,Fraud,"East Gregorybury, OH"
C1509,What may,2022-09-10,Closed,D1192,Homicide,"Brownstad, NH"
C1510,Cut level big,2024-11-01,Open,D1107,Fraud,"Faulknerborough, PA"
C1511,Responsibility recent own,2023-08-25,Closed,D1079,Homicide,"Port Pennyville, MS"
C1512,Dream surface health,2024-02-10,Open,D1196,Robbery,"Mckayside, LA"
C1513,Society attention,2025-04-08,Open,D1150,Fraud,"Robersonburgh, AR"
C1514,Practice town billion,2023-10-01,Closed,D1039,Narcotics,"West Ericstad, MT"
C1515,Various eye,2023-10-05,Closed,D1028,Fraud,"Ronaldburgh, TX"
C1516,Cause music picture,2022-11-26,Closed,D1071,Robbery,"Davidberg, MI"
C1517,Business true,2023-09-13,Closed,D1098,Fraud,"Christinaville, NV"
C1518,Them particularly admit,2025-01-07,Closed,D1058,Fraud,"Jonesland, IL"
C1519,Cup he father evidence,2025-01-26,Closed,D1022,Homicide,"West Christinastad, MT"
C1520,Turn time certainly,2022-08-25,Open,D1080,Fraud,"Alvarezside, SD"
C1521,House,2023-08-27,Closed,D1016,Fraud,"North Steventown, NC"
C1522,Tv between,2022-07-25,Closed,D1111,Cyber Crime,"Port Thomas, ME"
C1523,Accept technology all,2024-10-01,Closed,D1186,Homicide,"East Brooke, HI"
C1524,Action short,2024-03-29,Open,D1111,Fraud,"Gilmorefurt, SD"
C1525,Past name plan,2024-03-31,Open,D1194,Robbery,"New Emily, SD"
C1526,Magazine look interesting,2022-06-28,Open,D1030,Narcotics,"North Jessicamouth, NM"
C1527,Onto movement we window,2023-04-26,Open,D1008,Cyber Crime,"Natalieberg, LA"
C1528,Red join TV,2024-08-01,Closed,D1098,Homicide,"Lake Jonathanborough, RI"
C1529,Chance southern way,2023-11-21,Closed,D1074,Cyber Crime,"Stokesfort, CT"
C1530,Group table together,2023-06-10,Open,D1190,Fraud,"Kellychester, KS"
C1531,Understand happen,2022-05-06,Open,D1086,Fraud,"West Alexanderchester, OR"
C1532,Various picture,2024-02-15,Open,D1041,Narcotics,"Florestown, SC"
C1533,Degree use,2023-08-01,Open,D1163,Cyber Crime,"East Joe, WI"
C1534,Fall spring choose,2024-03-01,Closed,D1035,Cyber Crime,"Smithberg, SD"
C1535,Able such,2024-12-16,Open,D1157,Fraud,"Jamesside, SC"
C1536,Figure continue food,2025-03-27,Closed,D1194,Homicide,"Michaelfort, MT"
C1537,Law enough information which,2023-01-26,Closed,D1146,Homicide,"Henrymouth, WY"
C1538,Personal follow half,2024-05-28,Open,D1150,Robbery,"Leachland, WA"
C1539,Power fast,2024-08-03,Closed,D1008,Fraud,"Richardmouth, MI"
C1540,Wind include allow,2025-03-15,Open,D1088,Homicide,"Danastad, AK"
C1541,War partner determine,2024-10-31,Open,D1045,Robbery,"West Zacharyside, PA"
C1542,Rate measure,2024-08-09,Closed,D1051,Fraud,"New Brianmouth, AR"
C1543,Meet adult,2024-03-27,Closed,D1089,Robbery,"Wrightview, WA"
C1544,Family east,2024-07-30,Closed,D1184,Cyber Crime,"South Jodi, WI"
C1545,Could number for,2023-06-20,Open,D1055,Narcotics,"Port Patrickborough, RI"
C1546,Strong term,2024-11-18,Closed,D1032,Cyber Crime,"Norrisland, WA"
C1547,Despite approach,2022-09-21,Open,D1021,Cyber Crime,"South Kellyfort, KY"
C1548,He under body,2023-04-06,Closed,D1180,Cyber Crime,"Vanessastad, ND"
C1549,Little talk they money,2022-12-08,Open,D1021,Fraud,"Amandaberg, CA"
C1550,Election reality,2022-12-20,Open,D1074,Homicide,"Lake William, VA"
C1551,Give test black,2023-12-22,Open,D1182,Cyber Crime,"Johnsonborough, MT"
C1552,Professor operation next,2022-05-28,Open,D1131,Fraud,"North Michellemouth, ND"
C1553,Management common,2023-08-15,Closed,D1114,Homicide,"Abigailfort, MN"
C1554,Grow,2022-09-25,Closed,D1128,Fraud,"Stephenside, AR"
C1555,Congress step you,2022-08-01,Closed,D1031,Homicide,"Danaberg, OR"
C1556,Upon rather,2022-08-13,Closed,D1082,Robbery,"South Benjamin, NC"
C1557,Into dinner both,2023-10-25,Closed,D1061,Narcotics,"Gibbsfort, PA"
C1558,Thousand whose own,2024-10-10,Closed,D1008,Homicide,"Mccartytown, ND"
C1559,Probably public,2024-05-09,Open,D1163,Cyber Crime,"Michelleville, WY"
C1560,When,2023-11-24,Open,D1169,Cyber Crime,"Port Lance, HI"
C1561,Difference stock phone,2023-10-06,Closed,D1140,Cyber Crime,"West Sandrashire, NV"
C1562,Indicate scientist offer,2023-03-09,Open,D1181,Robbery,"Pattersonborough, NJ"
C1563,Amount suggest,2022-07-14,Open,D1066,Fraud,"North Frank, TX"
C1564,Summer country,2022-10-17,Open,D1099,Narcotics,"East Nicholasville, MA"
C1565,Push arrive,2024-07-01,Closed,D1149,Robbery,"East Aliciaville, VT"
C1566,Bad wall conference view,2022-09-05,Closed,D1080,Fraud,"West Vanessa, OK"
C1567,Development everything candidate rule,2024-09-19,Closed,D1114,Homicide,"Martinborough, DC"
C1568,Listen art consider,2024-12-15,Closed,D1095,Robbery,"West Coreyton, AZ"
C1569,Treatment figure,2022-12-14,Open,D1059,Narcotics,"North Barbara, NE"
C1570,Debate ready avoid,2025-02-23,Closed,D1007,Robbery,"Travismouth, AK"
C1571,Thus,2025-02-10,Open,D1078,Homicide,"New Carolynmouth, UT"
C1572,Account early use,2024-03-21,Open,D1032,Narcotics,"Kristinehaven, WV"
C1573,Happen debate view,2022-06-16,Open,D1192,Cyber Crime,"West Andres, CT"
C1574,Despite government,2022-07-11,Closed,D1031,Fraud,"New Peterborough, HI"
C1575,Learn then onto,2024-03-06,Open,D1127,Cyber Crime,"Lake David, OR"
C1576,Relate require,2023-02-06,Closed,D1103,Narcotics,"Whiteheadborough, CT"
C1577,Type police,2025-03-26,Closed,D1178,Homicide,"Johnnyton, CT"
C1578,Wonder third enjoy,2022-12-12,Open,D1181,Fraud,"North Daniel, RI"
C1579,Develop laugh,2024-06-18,Closed,D1051,Robbery,"Marksfort, MN"
C1580,Concern important son,2024-02-14,Open,D1056,Cyber Crime,"New Jenna, MS"
C1581,Name term turn,2023-11-19,Open,D1047,Fraud,"Jeremyfort, SC"
C1582,Wind radio less,2022-07-12,Closed,D1139,Homicide,"Jamesburgh, MD"
C1583,News through,2024-05-27,Open,D1059,Narcotics,"Blackburnport, ND"
C1584,Professor little,2023-01-28,Open,D1062,Fraud,"South Kelly, LA"
C1585,Go program address agent,2022-05-07,Open,D1148,Robbery,"Hensonton, CO"
C1586,Find available,2022-07-19,Open,D1134,Cyber Crime,"Port Christopherbury, OR"
C1587,Stop,2024-11-28,Open,D1184,Narcotics,"Matthewmouth, ND"
C1588,Safe rock identify talk,2025-03-07,Open,D1015,Narcotics,"East Michaelmouth, MT"
C1589,Apply ahead thought,2023-02-15,Open,D1097,Fraud,"Port Kent, AL"
C1590,Easy always,2024-01-10,Closed,D1054,Narcotics,"Lake Shaun, FL"
C1591,Rock foreign pressure maybe,2023-04-09,Closed,D1026,Robbery,"New Thomasview, AZ"
C1592,Fear thus north,2023-11-15,Open,D1136,Homicide,"Lake Kurt, LA"
C1593,Magazine record indicate,2023-06-25,Open,D1002,Robbery,"Lake Tracie, IL"
C1594,Practice yes kind,2023-06-25,Closed,D1115,Cyber Crime,"Parkchester, WI"
C1595,Support behind describe,2024-08-14,Closed,D1088,Narcotics,"Collinsshire, CT"
C1596,World,2022-05-30,Closed,D1185,Homicide,"Lake Heatherbury, NE"
C1597,Maybe before far,2025-01-29,Open,D1150,Robbery,"Owenston, ND"
C1598,Well list per,2025-02-07,Open,D1011,Homicide,"Lake Amber, AR"
C1599,Drive economic or,2024-03-24,Open,D1177,Narcotics,"West Danielmouth, MI"
C1600,Himself can citizen also,2022-12-03,Open,D1115,Robbery,"Gallegosmouth, TX"
C1601,Our rule,2023-09-19,Closed,D1003,Fraud,"Barryborough, LA"
C1602,Ball box,2023-06-06,Open,D1089,Cyber Crime,"Burgessburgh, NY"
C1603,Democrat,2022-10-04,Closed,D1076,Fraud,"West Amanda, HI"
C1604,Discuss create policy,2023-11-26,Closed,D1034,Homicide,"Lake Nicholasport, KY"
C1605,Arm upon one start,2022-09-03,Closed,D1187,Robbery,"New Aaron, DC"
C1606,Wait TV common once,2024-10-25,Closed,D1086,Narcotics,"Lake Tylerport, OH"
C1607,Build decision determine,2023-05-01,Closed,D1112,Robbery,"West Zachary, NV"
C1608,Gas career,2023-07-28,Closed,D1075,Cyber Crime,"Hartmanburgh, IN"
C1609,Everyone design possible,2024-02-23,Closed,D1163,Fraud,"Gregorychester, NV"
C1610,Throw anything,2024-01-21,Closed,D1101,Fraud,"Lake Timothyton, RI"
C1611,Agree others,2024-11-09,Closed,D1178,Fraud,"North Lisa, MA"
C1612,Suggest bill,2022-05-30,Closed,D1172,Fraud,"Mclaughlinborough, WY"
C1613,Than kitchen,2023-05-17,Open,D1048,Narcotics,"Edwardsmouth, WA"
C1614,Best sing laugh,2022-12-11,Open,D1067,Fraud,"East Kristinside, SD"
C1615,Shoulder improve occur,2024-06-11,Open,D1130,Robbery,"West Trevorville, DC"
C1616,Everybody camera,2025-02-21,Closed,D1087,Cyber Crime,"East Michael, NY"
C1617,Operation without,2023-04-05,Closed,D1077,Narcotics,"New Tracy, HI"
C1618,Many start national,2023-12-30,Open,D1186,Robbery,"Sheilaville, VA"
C1619,Perform run firm,2024-04-13,Closed,D1117,Homicide,"Port Edwardbury, ND"
C1620,Least money,2023-01-30,Open,D1051,Fraud,"Andersonbury, ID"
C1621,Grow,2024-11-13,Open,D1065,Homicide,"Kimberlyport, MA"
C1622,Follow few if,2024-09-19,Open,D1047,Fraud,"Lake Kimberlymouth, MI"
C1623,Yet build,2024-02-24,Open,D1169,Cyber Crime,"East Amandastad, IA"
C1624,Nice probably,2022-06-02,Closed,D1002,Homicide,"Cruzmouth, AR"
C1625,Recognize wish,2023-04-27,Open,D1155,Robbery,"Kramermouth, CO"
C1626,Form,2022-08-24,Closed,D1060,Narcotics,"Lake Brian, ME"
C1627,Third over,2024-10-30,Closed,D1189,Cyber Crime,"Lake Zachary, OH"
C1628,Catch language,2023-03-25,Closed,D1022,Fraud,"Montoyaberg, KS"
C1629,Quickly fall third,2023-11-30,Closed,D1029,Homicide,"Oliviaborough, AK"
C1630,Certain available car,2025-01-24,Open,D1003,Fraud,"South Larry, NV"
C1631,Chair maybe hold,2024-03-11,Closed,D1090,Robbery,"Port Tara, SC"
C1632,Wind news analysis,2024-02-02,Closed,D1050,Cyber Crime,"West Cherylberg, IN"
C1633,Increase other me television,2025-01-17,Open,D1045,Narcotics,"East Elizabeth, IA"
C1634,About once whether power,2022-09-24,Open,D1156,Fraud,"East Eric, MT"
C1635,Bank operation fire,2024-07-23,Closed,D1150,Robbery,"Martinezmouth, CA"
C1636,Fear already,2022-07-10,Open,D1013,Narcotics,"North Nathaniel, LA"
C1637,Prevent senior practice,2023-01-17,Open,D1165,Robbery,"North David, NM"
C1638,Law much modern,2024-10-28,Open,D1107,Cyber Crime,"Port Aaron, CT"
C1639,Child thing number,2022-05-23,Closed,D1162,Fraud,"New Alexandraberg, MA"
C1640,Scene hotel,2024-02-16,Open,D1182,Homicide,"Lake Justinside, ME"
C1641,Fish relate window term,2024-01-31,Closed,D1035,Cyber Crime,"Cortezville, AZ"
C1642,Dinner physical,2023-03-18,Closed,D1124,Narcotics,"Lake James, NE"
C1643,Thus long whom,2023-07-27,Closed,D1069,Homicide,"Lewistown, IL"
C1644,Film design,2023-11-15,Closed,D1193,Robbery,"Clayside, IL"
C1645,Beautiful arrive,2022-11-12,Open,D1131,Cyber Crime,"East Destinyhaven, DE"
C1646,Chair team,2022-07-07,Closed,D1155,Narcotics,"Anthonyville, PA"
C1647,None southern close,2024-11-26,Closed,D1171,Robbery,"Bakerport, PA"
C1648,Treat member,2024-11-17,Closed,D1196,Robbery,"Leachville, DE"
C1649,Listen act,2024-08-28,Open,D1149,Homicide,"West Jeffview, NV"
C1650,Especially question,2024-05-18,Open,D1191,Narcotics,"Mcculloughport, IN"
C1651,Information industry customer,2024-11-05,Closed,D1175,Homicide,"Lisashire, TN"
C1652,Quickly again imagine,2022-05-26,Closed,D1067,Cyber Crime,"Lake Jamie, CT"
C1653,Item fill hope,2022-07-06,Open,D1162,Cyber Crime,"Patrickberg, DC"
C1654,Common fish,2022-05-21,Open,D1002,Homicide,"Alyssachester, ID"
C1655,Ground question,2024-01-09,Open,D1198,Robbery,"Whitneymouth, PA"
